DATE,Electricity
2000-01-01,105230
2000-02-01,95740
2000-03-01,104390
2000-04-01,103720
2000-05-01,109780
2000-06-01,109810
2000-07-01,119370
2000-08-01,117410
2000-09-01,107900
2000-10-01,108970
2000-11-01,111440
2000-12-01,119400
2001-01-01,103700
2001-02-01,105500
2001-03-01,117080
2001-04-01,111700
2001-05-01,117790
2001-06-01,119220
2001-07-01,131070
2001-08-01,126880
2001-09-01,118850
2001-10-01,118040
2001-11-01,120200
2001-12-01,131310
2002-01-01,131673
2002-02-01,101040
2002-03-01,124097
2002-04-01,124965
2002-05-01,128372
2002-06-01,135476
2002-07-01,145804
2002-08-01,145599
2002-09-01,142655
2002-10-01,138519
2002-11-01,140800
2002-12-01,151400
2003-01-01,137600
2003-02-01,117700
2003-03-01,145800
2003-04-01,142700
2003-05-01,145400
2003-06-01,151400
2003-07-01,169900
2003-08-01,170000
2003-09-01,158500
2003-10-01,158100
2003-11-01,162500
2003-12-01,171100
2004-01-01,147970
2004-02-01,157050
2004-03-01,170670
2004-04-01,167890
2004-05-01,169290
2004-06-01,174810
2004-07-01,189880
2004-08-01,192100
2004-09-01,180950
2004-10-01,184430
2004-11-01,185880
2004-12-01,193130
2005-01-01,191490
2005-02-01,160110
2005-03-01,194050
2005-04-01,189210
2005-05-01,192470
2005-06-01,200680
2005-07-01,217890
2005-08-01,216210
2005-09-01,205330
2005-10-01,201100
2005-11-01,204190
2005-12-01,224660
2006-01-01,206340
2006-02-01,196200
2006-03-01,216160
2006-04-01,211660
2006-05-01,217530
2006-06-01,230190
2006-07-01,251710
2006-08-01,257050
2006-09-01,236480
2006-10-01,232430
2006-11-01,236340
2006-12-01,257340
2007-01-01,251240
2007-02-01,196730
2007-03-01,247200
2007-04-01,247450
2007-05-01,256870
2007-06-01,271560
2007-07-01,291570
2007-08-01,298980
2007-09-01,276010
2007-10-01,272790
2007-11-01,275470
2007-12-01,294690
2008-01-01,283152
2008-02-01,233780
2008-03-01,289780
2008-04-01,281430
2008-05-01,293380
2008-06-01,293450
2008-07-01,319540
2008-08-01,316060
2008-09-01,289250
2008-10-01,264500
2008-11-01,254020
2008-12-01,273960
2009-01-01,243350
2009-02-01,244938
2009-03-01,283360
2009-04-01,271288
2009-05-01,283890
2009-06-01,310009
2009-07-01,334498
2009-08-01,344320
2009-09-01,320333
2009-10-01,312104
2009-11-01,323409
2009-12-01,349780
2010-01-01,329500
2010-02-01,269590
2010-03-01,336950
2010-04-01,331640
2010-05-01,340470
2010-06-01,346660
2010-07-01,377640
2010-08-01,390330
2010-09-01,348650
2010-10-01,332880
2010-11-01,345340
2010-12-01,367780
2011-01-01,367780
2011-02-01,310080
2011-03-01,383010
2011-04-01,366380
2011-05-01,377540
2011-06-01,396820
2011-07-01,425150
2011-08-01,426040
2011-09-01,386060
2011-10-01,364040
2011-11-01,371330
2011-12-01,403810
2012-01-01,359400
2012-02-01,359400
2012-03-01,410920
2012-04-01,371820
2012-05-01,389810
2012-06-01,393350
2012-07-01,435120
2012-08-01,437280
2012-09-01,390730
2012-10-01,389770
2012-11-01,401050
2012-12-01,432700
2013-01-01,378700
2013-02-01,378700
2013-03-01,419429
2013-04-01,399440
2013-05-01,410410
2013-06-01,425261
2013-07-01,479452
2013-08-01,498700
2013-09-01,431036
2013-10-01,430515
2013-11-01,439182
2013-12-01,477963
2014-01-01,383400
2014-02-01,383358
2014-03-01,452768
2014-04-01,425022
2014-05-01,441594
2014-06-01,458100
2014-07-01,504800
2014-08-01,495930
2014-09-01,454172
2014-10-01,444641
2014-11-01,448721
2014-12-01,490218
2015-01-01,365400
2015-02-01,365400
2015-03-01,451061
2015-04-01,445026
2015-05-01,456218.34
2015-06-01,474526.9
2015-07-01,508961.99
2015-08-01,515530
2015-09-01,454780
2015-10-01,445354.6
2015-11-01,466040
2015-12-01,491030
2016-01-01,435100
2016-02-01,435100
2016-03-01,477884.29
2016-04-01,444450
2016-05-01,463590
2016-06-01,490790
2016-07-01,550610
2016-08-01,561720
2016-09-01,491280
2016-10-01,487580
2016-11-01,503410
2016-12-01,532890
2017-01-01,465800
2017-02-01,465800
2017-03-01,516890
2017-04-01,476720
2017-05-01,494700
2017-06-01,520300
2017-07-01,604740
2017-08-01,594550
2017-09-01,521960
2017-10-01,503810
2017-11-01,519630
2017-12-01,569860
2018-01-01,522800
2018-02-01,522800
2018-03-01,528340
2018-04-01,510780
2018-05-01,544330
2018-06-01,555100
2018-07-01,640000
2018-08-01,640500
2018-09-01,548300
2018-10-01,533000
2018-11-01,554300
2018-12-01,620000
2019-01-01,549100
2019-02-01,549100
2019-03-01,569800
2019-04-01,544000
2019-05-01,558900
2019-06-01,583400
2019-07-01,657300
2019-08-01,668200
2019-09-01,590800
2019-10-01,571400
2019-11-01,589000
2019-12-01,654400
2020-01-01,513300
2020-02-01,513300
2020-03-01,552500
2020-04-01,554300
2020-05-01,593200
2020-06-01,630400
2020-07-01,680100
2020-08-01,723800
2020-09-01,631500
2020-10-01,609500
2020-11-01,641900
2020-12-01,727700
2021-01-01,621400
2021-02-01,621400
2021-03-01,657900
2021-04-01,623000
